2023-10-28 21:10:20,249 - Child process 'my_process' with PID 2492 created.
2023-10-28 21:10:20,250 - Child process 'my_process' with PID 2475 running
2023-10-28 21:10:20,253 - Child process 'my_process' with PID 2492 encountered an error: [Errno 2] No such file or directory
2023-10-28 21:10:31,093 - Thread 'my_thread1' created successfully
2023-10-28 21:10:31,093 - Thread 'my_thread1' running
2023-10-28 21:10:37,782 - Thread 'my_thread2' created successfully
2023-10-28 21:10:37,782 - Thread 'my_thread2' running
2023-10-28 21:10:50,934 - Thread 'mn_thread' created successfully
2023-10-28 21:10:50,934 - Thread 'mn_thread' running
2023-10-28 21:10:56,882 - Thread 'my_thread' not found.
2023-10-28 21:11:05,479 - Thread 'my_thread1' terminated.
2023-10-28 21:11:20,013 - Processes created through your code:
2023-10-28 21:11:23,907 - Process with PID: 1093, Parent PID: 1, Name: oahd, Status: running
2023-10-28 21:11:23,908 - Process with PID: 1114, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,908 - Process with PID: 1132, Parent PID: 1, Name: IOUserBluetoothS, Status: running
2023-10-28 21:11:23,908 - Process with PID: 1143, Parent PID: 1, Name: coreauthd, Status: running
2023-10-28 21:11:23,908 - Process with PID: 1145, Parent PID: 1, Name: securityd_servic, Status: running
2023-10-28 21:11:23,908 - Process with PID: 1146, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,908 - Process with PID: 1180, Parent PID: 1, Name: SubmitDiagInfo, Status: running
2023-10-28 21:11:23,908 - Process with PID: 1226, Parent PID: 1, Name: UserEventAgent, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1231, Parent PID: 1, Name: universalaccessd, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1233, Parent PID: 1, Name: WindowManager, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1234, Parent PID: 1, Name: lsd, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1237, Parent PID: 1, Name: CommCenter, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1239, Parent PID: 1, Name: nsurlsessiond, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1240, Parent PID: 1, Name: usernoted, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1243, Parent PID: 1, Name: pboard, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1244, Parent PID: 1, Name: rapportd, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1246, Parent PID: 1, Name: ControlStrip, Status: running
2023-10-28 21:11:23,909 - Process with PID: 1254, Parent PID: 1, Name: WiFiAgent, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1256, Parent PID: 1, Name: identityservicesd, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1266, Parent PID: 1, Name: com.apple.audio., Status: running
2023-10-28 21:11:23,910 - Process with PID: 1270, Parent PID: 1, Name: audioclocksyncd, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1273, Parent PID: 1, Name: WirelessRadioMan, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1290, Parent PID: 1, Name: searchpartyuseragent, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1305, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1308, Parent PID: 1, Name: ContinuityCaptureAgent, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1329, Parent PID: 1, Name: ControlCenter, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1348, Parent PID: 1, Name: PlugInLibraryService, Status: running
2023-10-28 21:11:23,910 - Process with PID: 1361, Parent PID: 1, Name: filecoordination, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1364, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1365, Parent PID: 1, Name: NotificationCenter, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1367, Parent PID: 1, Name: corespotlightd, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1370, Parent PID: 1, Name: bird, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1371, Parent PID: 1, Name: sharedfilelistd, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1377, Parent PID: 1, Name: nearbyd, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1380, Parent PID: 1, Name: sharingd, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1390, Parent PID: 1, Name: fontd, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1393, Parent PID: 1, Name: fontworker, Status: running
2023-10-28 21:11:23,911 - Process with PID: 1414, Parent PID: 1, Name: seserviced, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1455, Parent PID: 1, Name: printtool, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1531, Parent PID: 1, Name: distnoted, Status: running
2023-10-28 21:11:23,912 - Process with PID: 1574, Parent PID: 1, Name: familycircled, Status: running
